bodyType,brand,color,engineDisplacement,enginePower,fuelType,mileage,modelDate,model_info,numberOfDoors,sell_id,vehicleTransmission,vhp,gear,wheel,price,sample
внедорожник 5 дв.,BMW,серый,2.0,245,бензин,95000,2013,X3,5.0,1101931459,автоматическая,Дубликат,полный,Левый,1244000,1
внедорожник 5 дв.,BMW,белый,4.4,450,бензин,124060,2014,X6,5.0,1101510514,автоматическая,Оригинал,полный,Левый,2850000,1
внедорожник 5 дв.,BMW,красный,3.0,306,бензин,116000,2009,X6,5.0,1101468805,автоматическая,Оригинал,полный,Левый,1085000,1
внедорожник 5 дв.,BMW,белый,1.5,140,бензин,24733,2017,X1,5.0,1102421688,роботизированная,Оригинал,передний,Левый,1885000,1
внедорожник 5 дв.,BMW,коричневый,2.0,190,дизель,108616,2014,X3,5.0,1101981310,автоматическая,Оригинал,полный,Левый,1668000,1
внедорожник 5 дв.,BMW,синий,2.0,245,бензин,49874,2017,X4,5.0,1102483760,автоматическая,Оригинал,полный,Левый,2750000,1
внедорожник 5 дв.,BMW,серебристый,2.0,150,дизель,4308,2019,X1,5.0,1102476476,автоматическая,Оригинал,полный,Левый,2599000,1
внедорожник 5 дв.,BMW,синий,4.4,555,бензин,108500,2012,X5_M,5.0,1102605167,автоматическая,Оригинал,полный,Левый,1680000,1
седан,BMW,серый,4.4,600,бензин,43000,2018,M5,4.0,1102442027,автоматическая,Оригинал,полный,Левый,6400000,1
внедорожник 5 дв.,BMW,белый,2.0,177,дизель,147701,2010,X3,5.0,1102573384,автоматическая,Оригинал,полный,Левый,880000,1
седан,BMW,чёрный,3.0,320,дизель,71605,2018,7ER,4.0,1102048903,автоматическая,Оригинал,полный,Левый,3699700,1
внедорожник 5 дв.,BMW,чёрный,3.0,306,бензин,73809,2013,X6,5.0,1102194717,автоматическая,Оригинал,полный,Левый,2035000,1
внедорожник 5 дв.,BMW,белый,4.4,530,бензин,10302,2020,X5,5.0,1102150456,автоматическая,Оригинал,полный,Левый,7755000,1
седан,BMW,серый,4.4,625,бензин,26,2021,M5,4.0,1102717118,автоматическая,Оригинал,полный,Левый,10945500,1
седан,BMW,серый,2.0,258,бензин,122055,2016,7ER,4.0,1102056592,автоматическая,Оригинал,задний,Левый,2620000,1
хэтчбек 5 дв.,BMW,чёрный,2.0,136,бензин,119000,2011,1ER,5.0,1102592440,автоматическая,Оригинал,задний,Левый,620000,1
хэтчбек 5 дв.,BMW,оранжевый,1.6,136,бензин,109650,2012,1ER,5.0,1102480698,автоматическая,Оригинал,задний,Левый,740000,1
внедорожник 5 дв.,BMW,синий,2.0,190,дизель,38000,2018,X3,5.0,1102684182,автоматическая,Оригинал,полный,Левый,3180000,1
внедорожник 5 дв.,BMW,серый,3.0,249,дизель,73510,2017,X5,5.0,1102482987,автоматическая,Оригинал,полный,Левый,3430000,1
седан,BMW,чёрный,2.0,190,дизель,13500,2019,5ER,4.0,1102440348,автоматическая,Оригинал,полный,Левый,2364000,1
хэтчбек 5 дв.,BMW,белый,1.5,136,бензин,73000,2015,1ER,5.0,1101967092,автоматическая,Оригинал,задний,Левый,1025000,1
седан,BMW,белый,2.0,245,бензин,134092,2012,5ER,4.0,1102299177,автоматическая,Оригинал,полный,Левый,1099000,1
внедорожник 5 дв.,BMW,голубой,4.4,575,бензин,111665,2016,X6_M,5.0,1102421691,автоматическая,Оригинал,полный,Левый,3941000,1
седан,BMW,чёрный,2.0,184,бензин,219102,2018,5ER,4.0,1101765105,автоматическая,Оригинал,задний,Левый,1799000,1
внедорожник 5 дв.,BMW,белый,2.0,245,бензин,90122,2015,X3,5.0,1102057148,автоматическая,Оригинал,полный,Левый,1719000,1
хэтчбек 5 дв.,BMW,чёрный,2.0,177,дизель,215564,2008,1ER,5.0,1102712852,автоматическая,Оригинал,задний,Левый,517000,1
внедорожник 5 дв.,BMW,белый,3.0,249,дизель,25122,2019,X5,5.0,1102028524,автоматическая,Оригинал,полный,Левый,5470000,1
внедорожник 5 дв.,BMW,серебристый,3.0,249,дизель,110039,2014,X6,5.0,1102129209,автоматическая,Оригинал,полный,Левый,2850000,1
внедорожник 5 дв.,BMW,чёрный,3.0,313,дизель,51236,2018,X6,5.0,1102454838,автоматическая,Оригинал,полный,Левый,4220000,1
внедорожник 5 дв.,BMW,синий,3.0,306,бензин,106206,2011,X6,5.0,1102622383,автоматическая,Оригинал,полный,Левый,1600000,1
седан,MERCEDES,серый,2.0,381,бензин,27000,2017,CLA_KLASSE_AMG,4.0,1102075663,роботизированная,Оригинал,полный,Левый,2850000,1
минивэн l,MERCEDES,синий,2.1,163,дизель,62000,2016,V_KLASSE,5.0,1102404202,автоматическая,Оригинал,полный,Левый,3899000,1
седан long,MERCEDES,чёрный,3.0,367,бензин,60025,2017,S_KLASSE,4.0,1102353683,автоматическая,Оригинал,полный,Левый,5500000,1
внедорожник 5 дв.,MERCEDES,чёрный,5.5,388,бензин,168600,2011,G_KLASSE,5.0,1101402173,автоматическая,Оригинал,полный,Левый,2800000,1
минивэн xl,MERCEDES,чёрный,2.1,190,дизель,208,2020,V_KLASSE,5.0,1102466355,автоматическая,Оригинал,полный,Левый,20330000,1
седан,MERCEDES,белый,1.8,184,бензин,117000,2012,E_KLASSE,4.0,1102598745,автоматическая,Оригинал,задний,Левый,1179000,1
седан,MERCEDES,серый,4.7,435,бензин,107299,2013,S_KLASSE,4.0,1102700432,автоматическая,Оригинал,полный,Левый,1599000,1
купе-хардтоп,MERCEDES,чёрный,6.2,525,бензин,106000,2007,CL_KLASSE_AMG,2.0,1101651928,автоматическая,Оригинал,задний,Левый,1300000,1
седан,MERCEDES,белый,2.9,340,дизель,21361,2018,CLS_KLASSE,4.0,1102313989,автоматическая,Оригинал,полный,Левый,4700000,1
седан,MERCEDES,чёрный,1.8,156,бензин,98206,2012,C_KLASSE,4.0,1101989136,автоматическая,Оригинал,задний,Левый,949000,1
седан long,MERCEDES,белый,5.5,585,бензин,21974,2015,S_KLASSE_AMG,4.0,1102506772,автоматическая,Оригинал,полный,Левый,4500000,1
седан,MERCEDES,чёрный,3.5,272,бензин,108000,2008,S_KLASSE,4.0,1102296950,автоматическая,Оригинал,полный,Левый,895000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,333,бензин,68125,2015,M_KLASSE,5.0,1102343452,автоматическая,Оригинал,полный,Левый,2352250,1
седан,MERCEDES,белый,5.5,585,бензин,125000,2014,CLS_KLASSE_AMG,4.0,1102331721,автоматическая,Дубликат,полный,Левый,3450000,1
седан,MERCEDES,белый,1.6,156,бензин,117346,2014,CLA_KLASSE,4.0,1102510037,роботизированная,Оригинал,передний,Левый,1170000,1
седан,MERCEDES,серый,2.9,249,дизель,45000,2018,CLS_KLASSE,4.0,1102624950,автоматическая,Оригинал,полный,Левый,4500000,1
внедорожник 5 дв.,MERCEDES,белый,4.7,435,бензин,118101,2013,GL_KLASSE,5.0,1102128424,автоматическая,Оригинал,полный,Левый,2149000,1
внедорожник 5 дв.,MERCEDES,серый,5.5,571,бензин,41000,2017,G_KLASSE_AMG,5.0,1102610447,автоматическая,Оригинал,полный,Левый,8350000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.1,170,дизель,100000,2009,GLK_KLASSE,5.0,1102661129,автоматическая,Оригинал,полный,Левый,965000,1
седан,MERCEDES,серый,1.3,150,бензин,10500,2020,CLA_KLASSE,4.0,1102325595,роботизированная,Оригинал,передний,Левый,2650000,1
внедорожник 5 дв.,MERCEDES,белый,4.7,435,бензин,135000,2012,GL_KLASSE,5.0,1102370993,автоматическая,Оригинал,полный,Левый,2165000,1
внедорожник 5 дв.,MERCEDES,белый,3.0,333,бензин,90500,2014,GL_KLASSE,5.0,1102177126,автоматическая,Оригинал,полный,Левый,2675000,1
седан,MERCEDES,чёрный,3.5,249,бензин,92115,2014,E_KLASSE,4.0,1102369806,автоматическая,Оригинал,полный,Левый,1699000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,367,бензин,17,2020,GLE_KLASSE,5.0,1102003612,автоматическая,Оригинал,полный,Левый,6800000,1
внедорожник 5 дв.,MERCEDES,чёрный,2.9,249,дизель,33,2020,G_KLASSE,5.0,1102141456,автоматическая,Оригинал,полный,Левый,12350000,1
минивэн xl,MERCEDES,чёрный,2.1,190,дизель,1,2020,V_KLASSE,5.0,1100237446,автоматическая,Оригинал,полный,Левый,23400000,1
внедорожник 5 дв.,MERCEDES,белый,2.1,170,дизель,74000,2015,GLK_KLASSE,5.0,1102661799,автоматическая,Оригинал,полный,Левый,1715000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,245,дизель,120000,2017,G_KLASSE,5.0,1101955588,автоматическая,Оригинал,полный,Левый,4769000,1
седан,MERCEDES,серый,2.5,204,бензин,237000,2007,E_KLASSE,4.0,1102470153,автоматическая,Оригинал,задний,Левый,521000,1
седан long,MERCEDES,чёрный,4.7,455,бензин,115000,2013,S_KLASSE,4.0,1102554942,автоматическая,Оригинал,полный,Левый,2549000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,258,дизель,183000,2013,GL_KLASSE,5.0,1102458349,автоматическая,Оригинал,полный,Левый,1990000,1
внедорожник 5 дв.,MERCEDES,коричневый,3.5,249,бензин,49806,2013,GLK_KLASSE,5.0,1102698997,автоматическая,Оригинал,полный,Левый,1935000,1
внедорожник 5 дв.,MERCEDES,белый,5.5,557,бензин,78770,2016,GLE_KLASSE_AMG,5.0,1102623348,автоматическая,Оригинал,полный,Левый,4650000,1
седан,MERCEDES,чёрный,4.0,612,бензин,24000,2018,S_KLASSE_AMG,4.0,1099796608,автоматическая,Оригинал,полный,Левый,9200000,1
седан,MERCEDES,чёрный,2.0,184,бензин,113009,2014,E_KLASSE,4.0,1102058808,автоматическая,Оригинал,задний,Левый,1300000,1
внедорожник 5 дв.,MERCEDES,белый,3.0,224,дизель,147000,2008,M_KLASSE,5.0,1102478002,автоматическая,Оригинал,полный,Левый,1120000,1
седан,MERCEDES,серый,2.0,224,бензин,6498,2020,CLA_KLASSE,4.0,1102703621,роботизированная,Оригинал,полный,Левый,3248000,1
внедорожник 5 дв.,AUDI,белый,2.0,249,бензин,8083,2019,Q5,5.0,1102709890,роботизированная,Оригинал,полный,Левый,3197000,1
седан,AUDI,белый,1.4,122,бензин,172056,2013,A3,4.0,1102236210,роботизированная,Оригинал,передний,Левый,737000,1
хэтчбек 5 дв. sportback,AUDI,белый,1.2,105,бензин,131000,2014,A3,5.0,1102697992,роботизированная,Оригинал,передний,Левый,830000,1
седан,AUDI,чёрный,1.8,190,бензин,40000,2016,A6,4.0,1102067055,роботизированная,Оригинал,передний,Левый,1849000,1
лифтбек sportback,AUDI,синий,2.0,190,бензин,11418,2019,A5,5.0,1102639849,роботизированная,Оригинал,передний,Левый,2789000,1
седан,AUDI,чёрный,2.0,170,бензин,149000,2009,A6,4.0,1102517082,вариатор,Оригинал,передний,Левый,659000,1
седан,AUDI,чёрный,3.0,239,дизель,230121,2010,A6,4.0,1102381851,автоматическая,Оригинал,полный,Левый,999000,1
купе,AUDI,белый,3.0,239,дизель,141081,2009,A5,2.0,1102714021,роботизированная,Оригинал,полный,Левый,1297000,1
внедорожник 5 дв.,AUDI,серебристый,4.2,350,бензин,233000,2006,Q7,5.0,1102479398,автоматическая,Дубликат,полный,Левый,650000,1
лифтбек sportback,AUDI,оранжевый,1.8,170,бензин,100960,2012,A5,5.0,1102717397,вариатор,Оригинал,передний,Левый,1199000,1
седан,AUDI,коричневый,1.4,122,бензин,91974,2013,A3,4.0,1102233742,роботизированная,Оригинал,передний,Левый,944000,1
хэтчбек 3 дв.,AUDI,чёрный,1.4,125,бензин,158000,2008,A3,3.0,1102513830,роботизированная,Оригинал,передний,Левый,420000,1
седан,AUDI,чёрный,1.8,120,бензин,93704,2014,A4,4.0,1102533382,вариатор,Оригинал,передний,Левый,1039000,1
внедорожник 5 дв.,AUDI,белый,2.0,211,бензин,166929,2010,Q5,5.0,1102540753,роботизированная,Оригинал,полный,Левый,915000,1
седан,AUDI,белый,2.0,180,бензин,109000,2012,A6,4.0,1102205075,вариатор,Оригинал,передний,Левый,875000,1
универсал 5 дв.,AUDI,бежевый,2.0,143,дизель,145669,2011,A4,5.0,1102534661,вариатор,Оригинал,передний,Левый,1040000,1
внедорожник 5 дв.,AUDI,коричневый,3.0,245,дизель,136714,2014,Q7,5.0,1102589166,автоматическая,Дубликат,полный,Левый,1814000,1
хэтчбек 5 дв. sportback,AUDI,белый,1.2,105,бензин,101000,2012,A3,5.0,1102661128,роботизированная,Оригинал,передний,Левый,615000,1
хэтчбек 3 дв.,AUDI,белый,2.0,256,бензин,109553,2010,S3,3.0,1101782426,роботизированная,Дубликат,полный,Левый,999000,1
внедорожник 5 дв.,AUDI,коричневый,2.0,177,дизель,139523,2012,Q3,5.0,1102707346,роботизированная,Оригинал,полный,Левый,1190000,1
внедорожник 5 дв.,AUDI,голубой,2.0,180,бензин,87096,2016,Q3,5.0,1102090871,роботизированная,Оригинал,полный,Левый,1780000,1
внедорожник 5 дв.,AUDI,чёрный,3.0,272,бензин,159000,2012,Q7,5.0,1102702177,автоматическая,Оригинал,полный,Левый,1175000,1
внедорожник 5 дв.,AUDI,синий,3.0,340,бензин,27135,2019,Q8,5.0,1102078283,автоматическая,Оригинал,полный,Левый,6140000,1
лифтбек,AUDI,серый,3.0,333,бензин,115000,2016,A7,5.0,1102405090,роботизированная,Оригинал,полный,Левый,1970000,1
седан long,AUDI,чёрный,3.0,250,дизель,82300,2015,A8,4.0,1102504795,автоматическая,Оригинал,полный,Левый,2190000,1
внедорожник 5 дв.,AUDI,белый,2.0,170,бензин,125000,2012,Q3,5.0,1101270433,роботизированная,Оригинал,полный,Левый,950000,1
седан,AUDI,чёрный,2.0,180,бензин,146300,2014,A6,4.0,1102554436,вариатор,Оригинал,передний,Левый,1235000,1
седан,AUDI,чёрный,1.8,120,бензин,167255,2014,A4,4.0,1102718223,вариатор,Оригинал,передний,Левый,899000,1
купе,AUDI,синий,2.0,249,бензин,47656,2017,A5,2.0,1102583389,роботизированная,Оригинал,полный,Левый,2750000,1
седан,AUDI,чёрный,1.8,170,бензин,49100,2015,A4,4.0,1102711836,вариатор,Оригинал,передний,Левый,1449000,1
седан,AUDI,серый,1.8,160,бензин,253000,2010,A4,4.0,1102701913,вариатор,Дубликат,передний,Левый,599900,1
купе,AUDI,белый,2.0,180,бензин,112000,2011,A5,2.0,1102632018,вариатор,Оригинал,передний,Левый,795000,1
седан,AUDI,синий,1.8,160,бензин,109266,2008,A4,4.0,1102708593,вариатор,Оригинал,передний,Левый,729000,1
седан,AUDI,белый,2.0,211,бензин,126000,2010,A4,4.0,1102714956,вариатор,Оригинал,передний,Левый,715000,1
лифтбек sportback,AUDI,чёрный,1.8,160,бензин,102000,2011,A5,5.0,1102706126,вариатор,Оригинал,передний,Левый,889000,1
седан long,BMW,синий,3.0,265,дизель,69460,2017,7ER,4.0,1102129213,автоматическая,Оригинал,полный,Левый,3340000,1
внедорожник 5 дв.,BMW,чёрный,3.0,218,дизель,20500,2017,X5,5.0,1102472018,автоматическая,Оригинал,полный,Левый,3600000,1
хэтчбек 5 дв.,BMW,белый,1.6,136,бензин,120000,2013,1ER,5.0,1102707987,автоматическая,Оригинал,задний,Левый,689000,1
седан,BMW,белый,3.0,249,дизель,79135,2017,5ER,4.0,1102004499,автоматическая,Оригинал,полный,Левый,2997000,1
седан,BMW,чёрный,2.0,184,бензин,60043,2018,5ER,4.0,1102019946,автоматическая,Оригинал,задний,Левый,2176000,1
внедорожник 5 дв.,BMW,серый,3.0,306,бензин,153000,2013,X6,5.0,1102637520,автоматическая,Оригинал,полный,Левый,1675000,1
седан,BMW,красный,1.6,136,бензин,108000,2014,3ER,4.0,1102549120,автоматическая,Оригинал,задний,Левый,985000,1
внедорожник 5 дв.,BMW,чёрный,3.0,381,дизель,105000,2016,X5,5.0,1102395351,автоматическая,Оригинал,полный,Левый,4288000,1
купе,BMW,чёрный,4.4,530,бензин,18,2020,8ER,2.0,1101959118,автоматическая,Оригинал,полный,Левый,10527800,1
внедорожник 5 дв.,BMW,чёрный,3.0,306,дизель,227556,2010,X5,5.0,1102717893,автоматическая,Оригинал,полный,Левый,1590000,1
седан,BMW,чёрный,2.0,190,дизель,43585,2018,3ER,4.0,1102246451,автоматическая,Оригинал,полный,Левый,2100000,1
седан,BMW,серый,2.0,116,дизель,151000,2004,3ER,4.0,1102296939,механическая,Оригинал,задний,Левый,415000,1
внедорожник 5 дв.,BMW,чёрный,2.0,184,дизель,114878,2012,X3,5.0,1102077736,автоматическая,Оригинал,полный,Левый,1357000,1
внедорожник 5 дв.,BMW,белый,3.0,249,дизель,7432,2019,X5,5.0,1102333072,автоматическая,Оригинал,полный,Левый,6100000,1
седан,BMW,синий,3.0,258,дизель,113697,2012,5ER,4.0,1102685207,автоматическая,Оригинал,полный,Левый,1648000,1
внедорожник 5 дв.,BMW,чёрный,2.0,150,дизель,49966,2017,X1,5.0,1102487086,автоматическая,Оригинал,полный,Левый,2065200,1
внедорожник 5 дв.,BMW,чёрный,3.0,400,дизель,15,2020,X7,5.0,1102359661,автоматическая,Оригинал,полный,Левый,11520396,1
седан,BMW,белый,2.0,184,бензин,17942,2020,3ER,4.0,1102621567,автоматическая,Оригинал,задний,Левый,2850000,1
внедорожник 5 дв.,BMW,серый,3.0,249,дизель,128883,2017,X5,5.0,1102431914,автоматическая,Оригинал,полный,Левый,3324000,1
седан,BMW,чёрный,3.0,249,дизель,51300,2018,5ER,4.0,1102138134,автоматическая,Оригинал,полный,Левый,3777000,1
внедорожник 5 дв.,BMW,белый,3.0,306,бензин,116700,2016,X6,5.0,1101959675,автоматическая,Оригинал,полный,Левый,2727000,1
седан,BMW,чёрный,2.0,249,бензин,90209,2017,5ER,4.0,1102431911,автоматическая,Оригинал,полный,Левый,2664000,1
хэтчбек 5 дв.,BMW,чёрный,1.6,136,бензин,168534,2012,1ER,5.0,1102228671,автоматическая,Оригинал,задний,Левый,720000,1
внедорожник 5 дв.,BMW,серебристый,3.0,249,дизель,58625,2017,X3,5.0,1102711956,автоматическая,Оригинал,полный,Левый,2985000,1
внедорожник 5 дв.,BMW,серебристый,4.4,286,бензин,266000,2003,X5,5.0,1102091475,автоматическая,Оригинал,полный,Левый,470000,1
седан,BMW,серый,1.6,136,бензин,158821,2014,3ER,4.0,1102019941,автоматическая,Оригинал,задний,Левый,962000,1
седан,BMW,чёрный,2.0,258,бензин,78015,2017,7ER,4.0,1102187102,автоматическая,Оригинал,задний,Левый,3031000,1
седан,BMW,синий,2.0,190,дизель,43959,2018,3ER,4.0,1102709392,автоматическая,Оригинал,задний,Левый,2125000,1
внедорожник 5 дв.,BMW,чёрный,3.0,400,дизель,20,2020,X7,5.0,1102706489,автоматическая,Оригинал,полный,Левый,12275871,1
внедорожник 5 дв.,BMW,синий,4.4,625,бензин,36,2020,X6_M,5.0,1102717116,автоматическая,Оригинал,полный,Левый,11778827,1
лифтбек gran turismo,BMW,чёрный,3.0,249,дизель,15,2021,6ER,5.0,1102717117,автоматическая,Оригинал,полный,Левый,5202551,1
внедорожник 5 дв.,BMW,коричневый,3.0,245,дизель,141819,2013,X5,5.0,1102707348,автоматическая,Оригинал,полный,Левый,2390000,1
внедорожник 5 дв.,BMW,белый,2.0,190,дизель,129300,2015,X3,5.0,1101979096,автоматическая,Оригинал,полный,Левый,1755000,1
седан,BMW,серый,2.0,190,дизель,46000,2018,5ER,4.0,1102702042,автоматическая,Оригинал,полный,Левый,2719000,1
внедорожник 5 дв.,BMW,белый,2.0,177,дизель,167000,2010,X3,5.0,1102535180,автоматическая,Оригинал,полный,Левый,790000,1
седан,BMW,белый,2.0,190,дизель,117378,2016,5ER,4.0,1102591773,автоматическая,Оригинал,задний,Левый,1770000,1
внедорожник 5 дв.,BMW,красный,2.0,190,дизель,32,2020,X4,5.0,1102278079,автоматическая,Оригинал,полный,Левый,4539499,1
внедорожник 5 дв.,MERCEDES,чёрный,4.0,585,бензин,25,2020,G_KLASSE_AMG,5.0,1101936093,автоматическая,Оригинал,полный,Левый,18595000,1
седан,MERCEDES,чёрный,1.8,184,бензин,133605,2012,E_KLASSE,4.0,1102302592,автоматическая,Оригинал,задний,Левый,1099000,1
минивэн l,MERCEDES,чёрный,2.1,136,дизель,139011,2016,V_KLASSE,5.0,1101304592,автоматическая,Оригинал,задний,Левый,2349000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,367,бензин,4000,2020,GLS_KLASSE,5.0,1101606105,автоматическая,Оригинал,полный,Левый,9975000,1
седан,MERCEDES,белый,1.8,184,бензин,106000,2012,E_KLASSE,4.0,1102491268,автоматическая,Оригинал,задний,Левый,1190000,1
седан,MERCEDES,чёрный,1.8,184,бензин,214267,2011,E_KLASSE,4.0,1102527802,автоматическая,Оригинал,задний,Левый,975000,1
внедорожник 5 дв.,MERCEDES,чёрный,3.0,224,дизель,145000,2009,GL_KLASSE,5.0,1102512128,автоматическая,Оригинал,полный,Левый,1199000,1
внедорожник 5 дв.,MERCEDES,белый,2.9,330,дизель,10,2020,GLS_KLASSE,5.0,1102484278,автоматическая,Оригинал,полный,Левый,7898000,1
седан,MERCEDES,чёрный,3.0,231,бензин,135000,2008,C_KLASSE,4.0,1102539075,автоматическая,Оригинал,полный,Левый,685000,1
внедорожник 5 дв.,MERCEDES,белый,3.0,249,дизель,47130,2017,GLE_KLASSE_COUPE,5.0,1102517312,автоматическая,Оригинал,полный,Левый,4645000,1
